step,torque_origin,torque_center,energy,torque_from_energy
1,-0.4488495,-0.4488495,532.9792,13.143253932943791
2,-0.2860648,-0.2860648,532.4847,9.935183660533273
3,-0.1657521,-0.1657521,532.1109,6.6154821110419455
4,-0.08629797,-0.08629797,531.862,3.2878068988976734
5,-0.03409516,-0.03409516,531.7383,-0.013289437747859009
6,0.008763387,0.008763387,531.7388,-3.319701549494348
7,0.06104254,0.06104254,531.8637,-6.644718874086631
8,0.1406284,0.1406284,532.1137,-9.961762536032012
9,0.2610486,0.2610486,532.4885,-13.172490695988477
10,0.4236863,0.4236863,532.9841,-16.144008976480457
11,0.6098581,0.6098581,533.5915,-18.7354493373734
12,0.7899953,0.7899953,534.2964,-20.824548951387598
13,0.9431285,0.9431285,535.0799,-22.379413167926383
14,1.061644,1.061644,535.9219,-23.46383128817404
15,1.146526,1.146526,536.8047,-24.157539938629807
16,1.202252,1.202252,537.7136,-24.53495997067686
17,1.233949,1.233949,538.6367,-24.66785434815847
18,1.246261,1.246261,539.5648,-24.598749271870208
19,1.24305,1.24305,540.4903,-24.364855167500636
20,1.227421,1.227421,541.407,-24.000724573198422
21,1.20184,1.20184,542.31,-23.527620589367388
22,1.168264,1.168264,543.1952,-22.966806316393235
23,1.128251,1.128251,544.0593,-22.326255416931925
24,1.083045,1.083045,544.8993,-21.627230991375203
25,1.033649,1.033649,545.713,-20.8723909272811
26,0.9808705,0.9808705,546.4983,-20.075024662391428
27,0.925368,0.925368,547.2536,-19.240447971804127
28,0.8676796,0.8676796,547.9775,-18.373976630626196
29,0.8082453,0.8082453,548.6688,-17.47826852639753
30,0.747427,0.747427,549.3264,-16.563955209323076
31,0.6855225,0.6855225,549.9496,-15.628378791850837
32,0.6227784,0.6227784,550.5376,-14.67951293663074
33,0.5593975,0.5593975,551.0899,-13.71204186856787
34,0.4955489,0.4955489,551.6058,-12.739255025398
35,0.431372,0.431372,552.0851,-11.753178744483293
36,0.3669822,0.3669822,552.5273,-10.759128800921681
37,0.3024751,0.3024751,552.9321,-9.759763082259116
38,0.2379297,0.2379297,553.2993,-8.755081588495592
39,0.1734118,0.1734118,553.6287,-7.745084319637156
40,0.1089748,0.1089748,553.9201,-6.729771275674742
41,0.0446645,0.0446645,554.1733,-5.714458231712327
42,-0.01948164,-0.01948164,554.3883,-4.6964873002069885
43,-0.08343283,-0.08343283,554.565,-3.67320059359465
44,-0.1471625,-0.1471625,554.7032,-2.6525717745343003
45,-0.210648,-0.210648,554.803,-1.629285067924983
46,-0.2738681,-0.2738681,554.8643,-0.6033404737666986
47,-0.336807,-0.336807,554.887,0.4226041203915858
48,-0.3994456,-0.3994456,554.8711,1.4432329394519354
49,-0.4617669,-0.4617669,554.8168,2.471835421159187
50,-0.5237541,-0.5237541,554.7238,3.4924642402195367
51,-0.5853876,-0.5853876,554.5924,4.515750946828854
52,-0.6466456,-0.6466456,554.4225,5.536379765889204
53,-0.7075041,-0.7075041,554.2142,6.5570085849495525
54,-0.7679323,-0.7679323,553.9675,7.569663741359978
55,-0.8278987,-0.8278987,553.6827,8.584976785319371
56,-0.8873576,-0.8873576,553.3597,9.592316166631862
57,-0.9462637,-0.9462637,552.9988,10.596997660392363
58,-1.004556,-1.004556,552.6001,11.593705491505963
59,-1.062163,-1.062163,552.1639,12.582439659969637
60,-1.118999,-1.118999,551.6905,13.560542278237442
61,-1.17496,-1.17496,551.1803,14.53332912140127
62,-1.229923,-1.229923,550.6335,15.487510751722324
63,-1.283738,-1.283738,550.0508,16.428402944292497
64,-1.336226,-1.336226,549.4327,17.350689924013857
65,-1.387172,-1.387172,548.7799,18.25171380334045
66,-1.436316,-1.436316,548.0932,19.126158807171333
67,-1.483347,-1.483347,547.3736,19.968709160405535
68,-1.527887,-1.527887,546.6223,20.776706975494097
69,-1.56948,-1.56948,545.8406,21.544836477339082
70,-1.607574,-1.607574,545.03,22.25980822818961
71,-1.641496,-1.641496,544.1925,22.913648565398777
72,-1.67042,-1.67042,543.3304,23.498383826322705
73,-1.693339,-1.693339,542.4463,24.000724573198422
74,-1.709005,-1.709005,541.5433,24.39940770564628
75,-1.715872,-1.715872,540.6253,24.678485898357362
76,-1.712018,-1.712018,539.6968,24.811380275841994
77,-1.695043,-1.695043,538.7633,24.76619618749444
78,-1.661977,-1.661977,537.8315,24.500407432531215
79,-1.609184,-1.609184,536.9097,23.966172035055802
80,-1.532414,-1.532414,536.008,23.091727031227943
81,-1.427182,-1.427182,535.1392,21.797335794551426
82,-1.290005,-1.290005,534.3191,19.997945923453244
83,-1.121226,-1.121226,533.5667,17.62976811672494
84,-0.9295477,-0.9295477,532.9034,14.711407587227415
85,-0.7349447,-0.7349447,532.3499,11.362469274688381
86,-0.5616138,-0.5616138,531.9224,7.7131896690404815
87,-0.4211169,-0.4211169,531.6322,3.899121035314296
88,-0.3068192,-0.3068192,531.4855,0.02126310039778308
89,-0.2016636,-0.2016636,531.4847,-3.8592527220707193
90,-0.08598596,-0.08598596,531.6299,-7.673321355793883
91,0.05577017,0.05577017,531.9186,-11.322600961444804
92,0.226144,0.226144,532.3446,-14.676855049081773
93,0.4072163,0.4072163,532.8968,-17.59521557858232
94,0.57184,0.57184,533.5588,-19.966051272853544
95,0.7031706,0.7031706,534.31,-21.773414806607697
96,0.7971268,0.7971268,535.1292,-23.07046393083016
97,0.8568695,0.8568695,535.9972,-23.950224709755954
98,0.8880215,0.8880215,536.8983,-24.492433769884315
99,0.8962433,0.8962433,537.8198,-24.760880412396503
100,0.8864137,0.8864137,538.7514,-24.81403816338794
101,0.8624796,0.8624796,539.685,-24.686459561007286
102,0.8275525,0.8275525,540.6138,-24.415355030946127
103,0.78408,0.78408,541.5324,-24.021987673596204
104,0.7339775,0.7339775,542.4362,-23.527620589367388
105,0.6787562,0.6787562,543.3214,-22.950858991093387
106,0.6196182,0.6196182,544.1849,-22.29967654143621
107,0.5575173,0.5575173,545.0239,-21.592678453232583
108,0.4932222,0.4932222,545.8363,-20.83518050158347
109,0.4273496,0.4273496,546.6202,-20.03515634914785
110,0.3604012,0.3604012,547.374,-19.197921771011583
111,0.2927825,0.2927825,548.0963,-18.331450429827605
112,0.2248259,0.2248259,548.786,-17.438400213153955
113,0.1567997,0.1567997,549.4421,-16.5240868960795
114,0.08892595,0.08892595,550.0638,-15.591168366156229
115,0.02138453,0.02138453,550.6504,-14.64230251093613
116,-0.04567751,-0.04567751,551.2013,-13.682805105520162
117,-0.1121365,-0.1121365,551.7161,-12.710018262353314
118,-0.1778967,-0.1778967,552.1943,-11.729257756536542
119,-0.2428751,-0.2428751,552.6356,-10.740523588075888
120,-0.3070085,-0.3070085,553.0397,-9.746473644508235
121,-0.3702385,-0.3702385,553.4064,-8.74710792584869
122,-0.4325249,-0.4325249,553.7355,-7.742426432085167
123,-0.4938295,-0.4938295,554.0268,-6.735087050775698
124,-0.5541244,-0.5541244,554.2802,-5.7277476694632075
125,-0.6133802,-0.6133802,554.4957,-4.712434625500793
126,-0.6715789,-0.6715789,554.673,-3.7024373566423567
127,-0.7287019,-0.7287019,554.8123,-2.6871243126799422
128,-0.7847316,-0.7847316,554.9134,-1.6691533811685602
129,-0.8396523,-0.8396523,554.9762,-0.6564982247611564
130,-0.8934498,-0.8934498,555.0009,0.35881481920125824
131,-0.9461069,-0.9461069,554.9874,1.3741278631606513
132,-0.9976069,-0.9976069,554.9357,2.389440907120044
133,-1.047931,-1.047931,554.8458,3.402096063533491
134,-1.097058,-1.097058,554.7178,4.414751219943916
135,-1.144962,-1.144962,554.5517,5.424748488802353
136,-1.191615,-1.191615,554.3476,6.432087870117865
137,-1.236981,-1.236981,554.1056,7.4367693638783665
138,-1.281021,-1.281021,553.8258,8.441450857638868
139,-1.323687,-1.323687,553.5082,9.4355008012035
140,-1.36492,-1.36492,553.1532,10.429550744765109
141,-1.404653,-1.404653,552.7608,11.418284913231806
142,-1.442808,-1.442808,552.3312,12.3937296439446
143,-1.479288,-1.479288,551.8649,13.36651648711447
144,-1.513979,-1.513979,551.362,14.326013892530439
145,-1.546752,-1.546752,550.823,15.274879747750536
146,-1.577447,-1.577447,550.2483,16.20514039012182
147,-1.605875,-1.605875,549.6386,17.122111594745242
148,-1.631818,-1.631818,548.9944,18.015161811424935
149,-1.655007,-1.655007,548.3166,18.884291040154856
150,-1.675128,-1.675128,547.6061,19.724183505837072
151,-1.691805,-1.691805,546.864,20.52952343337969
152,-1.704583,-1.704583,546.0916,21.29233716012372
153,-1.712919,-1.712919,545.2905,22.00465102342528
154,-1.716154,-1.716154,544.4626,22.658491360634446
155,-1.713488,-1.713488,543.6101,23.24322662155535
